metro_fips,metro,metro_ascii,metro_full,county_name,county_fips,state_id,state_name,lat_x,lng_x,population,met,lat_y,lng_y
19500,"Decatur, IL","Decatur, IL","Decatur, IL",Macon,17115,IL,Illinois,39.86,-88.9616,100737,"Decatur, IL",,
26300,"Hot Springs, AR","Hot Springs, AR","Hot Springs, AR",Garland,5051,AR,Arkansas,34.5767,-93.1504,99902,"Hot Springs, AR",,
37140,"Paducah, KY","Paducah, KY","Paducah, KY-IL",Livingston,21139,KY,Kentucky,37.0953,-88.7169,99814,"Paducah, KY",,
20220,"Dubuque, IA","Dubuque, IA","Dubuque, IA",Dubuque,19061,IA,Iowa,42.4688,-90.8825,99242,"Dubuque, IA",,
18700,"Corvallis, OR","Corvallis, OR","Corvallis, OR",Benton,41003,OR,Oregon,44.4918,-123.4293,98899,"Corvallis, OR",,
47020,"Victoria, TX","Victoria, TX","Victoria, TX",Victoria,48469,TX,Texas,28.7279,-97.195,98446,"Victoria, TX",,
25740,"Helena, MT","Helena, MT","Helena, MT",Lewis and Clark,30049,MT,Montana,46.7205,-112.1422,96327,"Helena, MT",,
21820,Fairbanks,Fairbanks,"Fairbanks-College, AK",Fairbanks North Star,2090,AK,Alaska,64.8078,-146.5654,94951,Fairbanks,,
38540,"Pocatello, ID","Pocatello, ID","Pocatello, ID",Bannock,16005,ID,Idaho,42.6685,-112.2246,91010,"Pocatello, ID",,
25980,"Hinesville, GA","Hinesville, GA","Hinesville, GA",Liberty,13179,GA,Georgia,31.7959,-81.602,89657,"Hinesville, GA",,
24420,"Grants Pass, OR","Grants Pass, OR","Grants Pass, OR",Josephine,41033,OR,Oregon,42.3655,-123.5555,88276,"Grants Pass, OR",,
37620,Parkersburg,Parkersburg,"Parkersburg-Vienna, WV",Wood,54107,WV,West Virginia,39.1389,-81.4628,87120,Parkersburg,,
18020,"Columbus, IN","Columbus, IN","Columbus, IN",Bartholomew,18005,IN,Indiana,39.206,-85.8976,84741,"Columbus, IN",,
24500,"Great Falls, MT","Great Falls, MT","Great Falls, MT",Cascade,30013,MT,Montana,47.3079,-111.347,84523,"Great Falls, MT",,
29020,"Kokomo, IN","Kokomo, IN","Kokomo, IN",Howard,18067,IN,Indiana,40.4836,-86.1169,84082,"Kokomo, IN",,
33220,"Midland, MI","Midland, MI","Midland, MI",Midland,26111,MI,Michigan,43.6468,-84.3881,84022,"Midland, MI",,
21300,"Elmira, NY","Elmira, NY","Elmira, NY",Chemung,36015,NY,New York,42.1413,-76.76,81115,"Elmira, NY",,
16220,"Casper, WY","Casper, WY","Casper, WY",Natrona,56025,WY,Wyoming,42.9622,-106.7986,80410,"Casper, WY",,
24260,"Grand Island, NE","Grand Island, NE","Grand Island, NE",Howard,31093,NE,Nebraska,41.0867,-98.3653,77278,"Grand Island, NE",,
33500,"Minot, ND","Minot, ND","Minot, ND",Ward,38101,ND,North Dakota,48.3188,-101.2077,75815,"Minot, ND",,
30300,"Lewiston, ID","Lewiston, ID","Lewiston, ID-WA",Nez Perce,16069,ID,Idaho,46.2691,-116.9437,65370,"Lewiston, ID",,
47460,"Walla Walla, WA","Walla Walla, WA","Walla Walla, WA",Walla Walla,53071,WA,Washington,46.2298,-118.4784,62068,"Walla Walla, WA",,
21420,"Enid, OK","Enid, OK","Enid, OK",Garfield,40047,OK,Oklahoma,36.3791,-97.7827,62007,"Enid, OK",,
20580,"Eagle Pass, TX","Eagle Pass, TX","Eagle Pass, TX",Maverick,48323,TX,Texas,28.7426,-100.3145,58829,"Eagle Pass, TX",,
16180,"Carson City, NV","Carson City, NV","Carson City, NV",Carson City,32510,NV,Nevada,39.1511,-119.7476,58148,"Carson City, NV",,
