X,Y,jurisdiction,platformtype,platformid,sourcerecord,objectid,operator,platformname
-9810059.7366,3537658.9794,Alabama,Template,1,Alabama Oil and Gas Board,1,ExxonMobil Production,75F
-9801162.4406,3541714.81,Alabama,Platform,2,Alabama Oil and Gas Board,2,ExxonMobil Production,A-Deck
-9801102.2468,3541653.6255,Alabama,Template,3,Alabama Oil and Gas Board,3,ExxonMobil Production,AA
-9795624.9893,3541129.2575,Alabama,Template,4,Alabama Oil and Gas Board,4,ExxonMobil Production,AB
-9793722.8105,3541121.9911,Alabama,Template,5,Alabama Oil and Gas Board,5,ExxonMobil Production,AD
-9797333.8428,3541186.6502,Alabama,Template,6,Alabama Oil and Gas Board,6,ExxonMobil Production,AC
-9809574.05,3527865.912,Alabama,Platform,7,Alabama Oil and Gas Board,7,ExxonMobil Production,B-Deck
-9798812.6222,3537246.9397,Alabama,Platform,8,Alabama Oil and Gas Board,8,ExxonMobil Production,77B
-9801932.1544,3536369.0271,Alabama,Platform,9,Alabama Oil and Gas Board,9,ExxonMobil Production,76AUX
-9801935.4937,3536267.1444,Alabama,Platform,10,Alabama Oil and Gas Board,10,ExxonMobil Production,76A
-9797967.8564,3534546.7849,Alabama,Platform,11,Alabama Oil and Gas Board,11,ExxonMobil Production,95E
-9803500.4327,3537596.2239,Alabama,Platform,12,Alabama Oil and Gas Board,12,ExxonMobil Production,76D
-9801374.2898,3541591.8891,Alabama,Platform,13,Alabama Oil and Gas Board,13,Legacy,62C
-9803701.0783,3540501.012,Alabama,Caisson,14,Alabama Oil and Gas Board,14,Legacy,EHP-1
-9801766.937,3542922.2481,Alabama,Caisson,15,Alabama Oil and Gas Board,15,Legacy,ECP-1
-9792564.3078,3539633.6517,Alabama,Platform,16,Alabama Oil and Gas Board,16,Legacy,78A
-9790385.3997,3543750.4447,Alabama,Caisson,17,Alabama Oil and Gas Board,17,Legacy,SB-6
-9791147.36,3540635.1075,Alabama,Caisson,18,Alabama Oil and Gas Board,18,Legacy,SB-2
-9793196.8415,3537890.1078,Alabama,Caisson,19,Alabama Oil and Gas Board,19,Legacy,SB-4
-9813047.7685,3529312.6401,Alabama,Template,20,Alabama Oil and Gas Board,20,ExxonMobil Production,BD
-9810236.525,3529436.5845,Alabama,Template,21,Alabama Oil and Gas Board,21,ExxonMobil Production,BE
-9793573.0663,3528788.3424,Alabama,Template,22,Alabama Oil and Gas Board,22,ExxonMobil Production,CD
-9790881.8919,3527860.7882,Alabama,Platform,23,Alabama Oil and Gas Board,23,ExxonMobil Production,C-Deck
-9798510.2723,3527909.6735,Alabama,Template,24,Alabama Oil and Gas Board,24,ExxonMobil Production,CC
-9804716.7926,3526592.2676,Alabama,Platform,25,Alabama Oil and Gas Board,25,W&T Offshore,MO113
-9803475.3916,3526551.8769,Alabama,Template,26,Alabama Oil and Gas Board,26,W&T Offshore,JA
-9805140.6226,3527887.0339,Alabama,Template,27,Alabama Oil and Gas Board,27,W&T Offshore,JE
-9803944.8039,3527470.2917,Alabama,Template,28,Alabama Oil and Gas Board,28,W&T Offshore,JD
-9805066.9719,3524217.5014,Alabama,Template,29,Alabama Oil and Gas Board,29,W&T Offshore,JB
-9795643.908,3535749.5968,Alabama,Template,30,Alabama Oil and Gas Board,30,ExxonMobil Production,77BC
-9790963.42,3527806.3441,Alabama,Template,31,Alabama Oil and Gas Board,31,ExxonMobil Production,CA
-9809649.6516,3527801.4219,Alabama,Template,32,Alabama Oil and Gas Board,32,ExxonMobil Production,BA
-9809551.8917,3527971.3409,Alabama,Platform,33,Alabama Oil and Gas Board,33,ExxonMobil Production,BQ
-9821346.8119,3536770.2018,Alabama,Platform,34,Alabama Oil and Gas Board,34,Mobay,NDI-1
-9804783.8705,3526521.0855,Alabama,Template,35,Alabama Oil and Gas Board,35,W&T Offshore,JC
-16884167.7698,8556147.5319,Alaska,,,Alaska Oil and Gas Conservation Commission,36,Cook Inlet Energy,OSPREY
-16876461.5815,8587182.9163,Alaska,,,Alaska Oil and Gas Conservation Commission,37,Hilcorp,STEELHEAD
-16866594.3412,8586608.4247,Alaska,,,Alaska Oil and Gas Conservation Commission,38,Hilcorp,BAKER
-16864687.9236,8578951.7153,Alaska,,,Alaska Oil and Gas Conservation Commission,39,Hilcorp,Platform A
-16865385.6234,8574320.7056,Alaska,,,Alaska Oil and Gas Conservation Commission,40,Hilcorp,Platform C
-16866532.5409,8565207.4713,Alaska,,,Alaska Oil and Gas Conservation Commission,41,Hilcorp,DILLON
-16846374.4623,8616072.8014,Alaska,,,Alaska Oil and Gas Conservation Commission,42,Hilcorp,GRANITE POINT
-16803725.5869,8643346.5706,Alaska,,,Alaska Oil and Gas Conservation Commission,43,ConocoPhillips Alaska,TYONEK
-16877695.0294,8588981.9015,Alaska,,,Alaska Oil and Gas Conservation Commission,44,Hilcorp,GRAYLING
-16876920.1136,8594793.0111,Alaska,,,Alaska Oil and Gas Conservation Commission,45,Hilcorp,KING SALMON
-16873902.1792,8602022.3355,Alaska,,,Alaska Oil and Gas Conservation Commission,46,Hilcorp,MONOPOD
-16872329.2729,8607241.3995,Alaska,,,Alaska Oil and Gas Conservation Commission,47,Hilcorp,SPURR
-16868539.8581,8609252.1693,Alaska,,,Alaska Oil and Gas Conservation Commission,48,Hilcorp,SPARK
-16844345.2036,8620430.1421,Alaska,,,Alaska Oil and Gas Conservation Commission,49,Hilcorp,ANNA
-16842743.6651,8625475.7275,Alaska,,,Alaska Oil and Gas Conservation Commission,50,Hilcorp,BRUCE
-16879960.5248,8581722.7837,Alaska,,,Alaska Oil and Gas Conservation Commission,51,Hilcorp,DOLLY VARDEN
-16826132.8176,8610776.3301,Alaska,,,Alaska Oil and Gas Conservation Commission,52,Furie Operating Alaska,KLU Platform A
-16725818.6087,11232026.363,Alaska,Artificial Island,,Alaska Oil and Gas Conservation Commission,53,Eni US Operating Company Inc.,Oooguruk Island
-16470921.872,11184992.8122,Alaska,Artificial Island,,Alaska Oil and Gas Conservation Commission,54,Hilcorp,Endicott Island
-16687828.1524,11252511.5055,Alaska,Artificial Island,,Alaska Oil and Gas Conservation Commission,55,Eni Us Operating Company Inc.,Spy Island (Nikaitchuq Island)
-13155932.3106,3996552.2324,California,,,California Department of Fish and Wildlife,56,,GRISSOM
-13153445.0409,3995643.5599,California,,,California Department of Fish and Wildlife,57,,WHITE
-13151188.0848,3993924.0554,California,,,California Department of Fish and Wildlife,58,,CHAFFEE
-13153783.9401,3994139.0467,California,,,California Department of Fish and Wildlife,59,,FREEMAN
-13148409.2701,3991133.1401,California,,,California Department of Fish and Wildlife,60,,ESTHER
-13142600.364,3983472.4989,California,,,California Department of Fish and Wildlife,61,,EVA
-13140662.2111,3983531.328,California,,,California Department of Fish and Wildlife,62,,EMMY
-13347925.6199,4081260.5812,California,,,California Department of Fish and Wildlife,63,,HOLLY
-13296600.7895,4075531.5695,California,,,California Department of Fish and Wildlife,64,,RINCON ISLAND
-13389528.193,4075948.1185,Federal,,,Bureau of Ocean Energy Management,65,,HERITAGE
-13371866.4889,4081388.6765,Federal,,,Bureau of Ocean Energy Management,66,,HONDO
-13377098.0003,4079492.6482,Federal,,,Bureau of Ocean Energy Management,67,,HARMONY
-13430407.6579,4090072.3378,Federal,,,Bureau of Ocean Energy Management,68,,HERMOSA
-13434240.3249,4091969.6755,Federal,,,Bureau of Ocean Energy Management,69,,HARVEST
-13277878.7237,4044591.2038,Federal,,,Bureau of Ocean Energy Management,70,,GINA
-13291678.3873,4045610.7133,Federal,,,Bureau of Ocean Energy Management,71,,GAIL
-13293720.84,4053313.2679,Federal,,,Bureau of Ocean Energy Management,72,,GILDA
-13299205.1057,4052940.3988,Federal,,,Bureau of Ocean Energy Management,73,,GRACE
-13312593.7727,4067353.3201,Federal,,,Bureau of Ocean Energy Management,74,,HABITAT
-13307405.2179,4074234.3442,Federal,,,Bureau of Ocean Energy Management,75,,HOGAN
-13308588.7186,4073872.6689,Federal,,,Bureau of Ocean Energy Management,76,,HOUCHIN
-13314280.8077,4073380.9849,Federal,,,Bureau of Ocean Energy Management,77,,HILLHOUSE
-13309510.4936,4073638.6602,Federal,,,Bureau of Ocean Energy Management,78,,HENRY
-13315307.4569,4073454.0618,Federal,,,Bureau of Ocean Energy Management,79,,A
-13316316.8512,4073515.5457,Federal,,,Bureau of Ocean Energy Management,80,,B
-13317344.5027,4073594.151,Federal,,,Bureau of Ocean Energy Management,81,,C
-13148769.2553,3970381.4878,Federal,,,Bureau of Ocean Energy Management,82,,EUREKA
-13150074.8686,3972864.6615,Federal,,,Bureau of Ocean Energy Management,83,,ELLEN
-13149948.7389,3973003.0897,Federal,,,Bureau of Ocean Energy Management,84,,ELLY
-13151462.4156,3974657.8368,Federal,,,Bureau of Ocean Energy Management,85,,EDITH
-13439651.9982,4111062.3358,Federal,,,Bureau of Ocean Energy Management,86,,IRENE
-13436630.6883,4095464.3554,Federal,,,Bureau of Ocean Energy Management,87,,HIDALGO
-10750328.2627,3257364.7779,Federal,,10170,Bureau of Ocean Energy Management,88,,A
-10371923.4887,3455793.7005,Federal,,22021,Bureau of Ocean Energy Management,89,,JA
-10361133.2029,3309810.9621,Federal,,21754,Bureau of Ocean Energy Management,90,,A
-10411177.2375,3249182.0793,Federal,,10135,Bureau of Ocean Energy Management,91,,A
-10508309.6392,3242244.3371,Federal,,10144,Bureau of Ocean Energy Management,92,,C
-10440079.963,3410309.3566,Federal,,10070,Bureau of Ocean Energy Management,93,,5
-10690752.5389,3230679.3135,Federal,,10075,Bureau of Ocean Energy Management,94,,A
-10295832.4691,3363306.6701,Federal,,24030,Bureau of Ocean Energy Management,95,,A
-10240373.9465,3417420.2185,Federal,,23307,Bureau of Ocean Energy Management,96,,139
-10227009.6619,3418024.5914,Federal,,23241,Bureau of Ocean Energy Management,97,,D-PRD
-10260229.7558,3431556.9051,Federal,,23023,Bureau of Ocean Energy Management,98,,18
-10239507.5599,3417355.3165,Federal,,22905,Bureau of Ocean Energy Management,99,,107
-10229250.6244,3414092.1766,Federal,,22935,Bureau of Ocean Energy Management,100,,302
-10242775.1663,3418354.2672,Federal,,22674,Bureau of Ocean Energy Management,101,,D/O P/L
-10329016.6365,3271681.1593,Federal,,22696,Bureau of Ocean Energy Management,102,,B
-10226225.611,3374307.5169,Federal,,22383,Bureau of Ocean Energy Management,103,,CB
-10238083.0573,3333802.0661,Federal,,21883,Bureau of Ocean Energy Management,104,,C
-10227058.9794,3390429.5092,Federal,,21739,Bureau of Ocean Energy Management,105,,A-PRD
-10250331.1848,3432259.7691,Federal,,21414,Bureau of Ocean Energy Management,106,,61
-10161255.3045,3353929.8466,Federal,,80030,Bureau of Ocean Energy Management,107,,A
-10195344.5806,3402088.9748,Federal,,80032,Bureau of Ocean Energy Management,108,,6
-10180099.389,3373731.0611,Federal,,80034,Bureau of Ocean Energy Management,109,,12
-10021206.7624,3287844.7745,Federal,,70029,Bureau of Ocean Energy Management,110,,A(SEAHORSE PRO
-10183591.7788,3373823.2463,Federal,,80037,Bureau of Ocean Energy Management,111,,CAIS. 13
-10074905.6072,3362784.9678,Federal,,6,Bureau of Ocean Energy Management,112,,CAIS. 21(PLF.CF
-10156733.9711,3343981.7831,Federal,,26018,Bureau of Ocean Energy Management,113,,A-AUX
-10226487.8895,3283474.862,Federal,,24,Bureau of Ocean Energy Management,114,,C
-10180082.7341,3374182.8586,Federal,,37,Bureau of Ocean Energy Management,115,,14
-10351543.0506,3269362.7344,Federal,,32,Bureau of Ocean Energy Management,116,,F
-10227606.2787,3413267.4636,Federal,,33,Bureau of Ocean Energy Management,117,,196
-10440079.6134,3410309.3413,Federal,,10070,Bureau of Ocean Energy Management,118,,CPF
-10109968.0504,3259600.0498,Federal,,80015,Bureau of Ocean Energy Management,119,,A
-9808729.1076,3419970.4688,Federal,,36,Bureau of Ocean Energy Management,120,,A
-10249586.3595,3325694.7621,Federal,,21,Bureau of Ocean Energy Management,121,,D
-10095021.3685,3330567.9395,Federal,,90146,Bureau of Ocean Energy Management,122,,TEST PILES
-10241083.6835,3419586.9865,Federal,,75,Bureau of Ocean Energy Management,123,,CAIS. 198
-10158781.1719,3352616.5107,Federal,,32035,Bureau of Ocean Energy Management,124,,B
-10189711.853,3415379.8992,Federal,,32038,Bureau of Ocean Energy Management,125,,CAIS. 29
-10242706.5769,3417317.7568,Federal,,32043,Bureau of Ocean Energy Management,126,,189
-10137844.0058,3324014.7448,Federal,,80002,Bureau of Ocean Energy Management,127,,A
-10090066.2803,3356486.3499,Federal,,80010,Bureau of Ocean Energy Management,128,,D
-10228188.3125,3414180.8423,Federal,,90010,Bureau of Ocean Energy Management,129,,CAIS. 191
-10334657.7881,3258342.0664,Federal,,90015,Bureau of Ocean Energy Management,130,,A
-10159495.2407,3354126.676,Federal,,80019,Bureau of Ocean Energy Management,131,,B
-10405240.1276,3306351.6471,Federal,,50010,Bureau of Ocean Energy Management,132,,B
-9967417.1619,3352391.9737,Federal,,90148,Bureau of Ocean Energy Management,133,,TEMPLATE
-10264316.6356,3285961.7885,Federal,,1205,Bureau of Ocean Energy Management,134,,D
-9872469.9273,3434916.1136,Federal,,70024,Bureau of Ocean Energy Management,135,,CE
-9854792.3377,3418226.7128,Federal,,1207,Bureau of Ocean Energy Management,136,,A
-10079022.4689,3273680.572,Federal,,23196,Bureau of Ocean Energy Management,137,,B
-10506995.5064,3387595.9098,Federal,,1216,Bureau of Ocean Energy Management,138,,B
-10104304.3484,3348250.9249,Federal,,25012,Bureau of Ocean Energy Management,139,,TRIMARS
-10182983.6578,3374461.6321,Federal,,20842,Bureau of Ocean Energy Management,140,,I-8
-10247461.7583,3300945.8303,Federal,,21929,Bureau of Ocean Energy Management,141,,Junction
-9951513.4231,3337216.4686,Federal,,1093,Bureau of Ocean Energy Management,142,,E
-10130411.6192,3324913.7144,Federal,,1230,Bureau of Ocean Energy Management,143,,J
-9903126.6973,3415880.101,Federal,,1241,Bureau of Ocean Energy Management,144,,CAIS. 3
-10091350.6925,3356060.05,Federal,,26101,Bureau of Ocean Energy Management,145,,C
-10056918.6232,3371479.4649,Federal,,1224,Bureau of Ocean Energy Management,146,,A
-10371893.024,3455821.3953,Federal,,22021,Bureau of Ocean Energy Management,147,,JA-AUX
-10116331.7057,3315895.2622,Federal,,26131,Bureau of Ocean Energy Management,148,,N (DUPLICATE)
-9806325.5989,3383394.6576,Federal,,24229,Bureau of Ocean Energy Management,149,,A-Ram Powell
-10127657.6891,3315724.4199,Federal,,26134,Bureau of Ocean Energy Management,150,,DUPLICATE A
-9966047.5054,3354036.4251,Federal,,90147,Bureau of Ocean Energy Management,151,,SSTEMPLATE
-10341566.6169,3450778.9336,Federal,,27044,Bureau of Ocean Energy Management,152,,CF 2
-10047636.7495,3378774.6147,Federal,,21162,Bureau of Ocean Energy Management,153,,(37) FLR-E
-10239891.2394,3233322.9108,Federal,,27056,Bureau of Ocean Energy Management,154,,A-Enchilada
-10272588.4669,3336010.5525,Federal,,32041,Bureau of Ocean Energy Management,155,,C
-10351706.995,3270674.4629,Federal,,32037,Bureau of Ocean Energy Management,156,,E
-9851401.7606,3514461.3206,Federal,,23474,Bureau of Ocean Energy Management,157,,B
-9780983.7507,3509233.8223,Federal,,24218,Bureau of Ocean Energy Management,158,,A
-10228856.0771,3417529.1017,Federal,,90017,Bureau of Ocean Energy Management,159,,190
-10228205.7571,3415721.5658,Federal,,90019,Bureau of Ocean Energy Management,160,,CAIS. 193
-10274537.8398,3374178.5506,Federal,,70026,Bureau of Ocean Energy Management,161,,JUNC
-10274590.3355,3374127.7122,Federal,,70026,Bureau of Ocean Energy Management,162,,COMP
-10274528.3851,3374089.0396,Federal,,70026,Bureau of Ocean Energy Management,163,,QTRS
-10215681.8064,3321395.6111,Federal,,80017,Bureau of Ocean Energy Management,164,,C
-10445292.2142,3243443.0623,Federal,,28050,Bureau of Ocean Energy Management,165,,E
-10278590.7988,3428791.142,Federal,,27059,Bureau of Ocean Energy Management,166,,B
-10147956.1858,3389857.8381,Federal,,23521,Bureau of Ocean Energy Management,167,,P-VALVE
-10033916.3349,3297696.6403,Federal,,24237,Bureau of Ocean Energy Management,168,,A
-10057376.0132,3364925.9588,Federal,,31012,Bureau of Ocean Energy Management,169,,H
-9934805.2445,3373749.9987,Federal,,31029,Bureau of Ocean Energy Management,170,,47(SL 1012)
-9935264.7206,3373758.4103,Federal,,31028,Bureau of Ocean Energy Management,171,,52 (SL1012)T
-10138523.1548,3277852.5213,Federal,,32027,Bureau of Ocean Energy Management,172,,A
-10136959.8343,3256759.2444,Federal,,33028,Bureau of Ocean Energy Management,173,,A(MAHOGANY)
-10087866.532,3353493.8979,Federal,,26063,Bureau of Ocean Energy Management,174,,19
-9890669.9542,3459040.151,Federal,,24260,Bureau of Ocean Energy Management,175,,A
-9794752.1674,3396495.9021,Federal,,24235,Bureau of Ocean Energy Management,176,,A-Neptune Spar
-10298172.8487,3305669.8275,Federal,,32030,Bureau of Ocean Energy Management,177,,A
-10245391.8994,3313958.119,Federal,,32033,Bureau of Ocean Energy Management,178,,A
-9783288.0226,3421646.6167,Federal,,23839,Bureau of Ocean Energy Management,179,,B
-9903462.2706,3382901.0579,Federal,,20285,Bureau of Ocean Energy Management,180,,G
-9795176.1526,3526891.2221,Federal,,31002,Bureau of Ocean Energy Management,181,,C-DECK(SL)
-10148233.9195,3392773.8774,Federal,,26084,Bureau of Ocean Energy Management,182,,A
-10146322.2663,3308741.8199,Federal,,26121,Bureau of Ocean Energy Management,183,,A
-10131742.1456,3323992.261,Federal,,26050,Bureau of Ocean Energy Management,184,,A-PRD
-10116331.7057,3315895.2622,Federal,,26313,Bureau of Ocean Energy Management,185,,N
-10127715.5842,3315718.6774,Federal,,20724,Bureau of Ocean Energy Management,186,,A-MANTIS
-10115963.3988,3321786.0319,Federal,,26110,Bureau of Ocean Energy Management,187,,B
-10118309.0158,3315408.3055,Federal,,26142,Bureau of Ocean Energy Management,188,,M
-10369944.7003,3366016.2321,Federal,,29040,Bureau of Ocean Energy Management,189,,JA
-10147941.3118,3389849.0608,Federal,,23521,Bureau of Ocean Energy Management,190,,A-VALVE
-10300859.0708,3432190.885,Federal,,20639,Bureau of Ocean Energy Management,191,,A-RSR
-10474018.2496,3285738.2812,Federal,,28036,Bureau of Ocean Energy Management,192,,A
-10185643.3461,3333028.6079,Federal,,32017,Bureau of Ocean Energy Management,193,,K
-9919464.885,3419829.47,Federal,,31022,Bureau of Ocean Energy Management,194,,PIG-TRAP
-10230192.2755,3385052.2319,Federal,,27066,Bureau of Ocean Energy Management,195,,G
-10293813.9959,3263974.6557,Federal,,27064,Bureau of Ocean Energy Management,196,,B
-9800874.8842,3426659.1163,Federal,,24258,Bureau of Ocean Energy Management,197,,A
-9932248.8455,3270396.7269,Federal,,24199,Bureau of Ocean Energy Management,198,,A-Mars TLP
-10348386.1976,3271125.4148,Federal,,27065,Bureau of Ocean Energy Management,199,,D
-10210715.3438,3349736.8233,Federal,,26105,Bureau of Ocean Energy Management,200,,H
-10210471.1874,3350494.6033,Federal,,26136,Bureau of Ocean Energy Management,201,,I
-10524897.6009,3392270.2068,Federal,,28051,Bureau of Ocean Energy Management,202,,B
-10290955.634,3262600.9958,Federal,,27021,Bureau of Ocean Energy Management,203,,A
-10267033.5757,3287530.0099,Federal,,27024,Bureau of Ocean Energy Management,204,,C
-9937864.2767,3373332.9152,Federal,,20278,Bureau of Ocean Energy Management,205,,35(SL 1011)
-10456638.1702,3298300.408,Federal,,28020,Bureau of Ocean Energy Management,206,,A
-10264719.2615,3282444.3632,Federal,,27028,Bureau of Ocean Energy Management,207,,A
-10026918.6366,3376418.0728,Federal,,24255,Bureau of Ocean Energy Management,208,,Q
-9846864.2207,3396998.5747,Federal,,24201,Bureau of Ocean Energy Management,209,,A
-10189030.5018,3413982.2794,Federal,,20701,Bureau of Ocean Energy Management,210,,27
-10092956.3448,3370017.9361,Federal,,26116,Bureau of Ocean Energy Management,211,,5
-10226780.138,3418020.7478,Federal,,27047,Bureau of Ocean Energy Management,212,,178
-10130105.6049,3318582.4034,Federal,,32026,Bureau of Ocean Energy Management,213,,E
-10209911.6493,3268567.9833,Federal,,26138,Bureau of Ocean Energy Management,214,,D
-10145326.8216,3302761.8557,Federal,,26123,Bureau of Ocean Energy Management,215,,A
-10098969.9247,3368174.4241,Federal,,26109,Bureau of Ocean Energy Management,216,,25
-10127198.9339,3368029.7958,Federal,,32011,Bureau of Ocean Energy Management,217,,M
-10303077.5491,3239252.3283,Federal,,27032,Bureau of Ocean Energy Management,218,,A
-9903391.3732,3382924.7689,Federal,,20285,Bureau of Ocean Energy Management,219,,D
-10182385.6563,3383044.5909,Federal,,26111,Bureau of Ocean Energy Management,220,,38
-10228668.2831,3415430.766,Federal,,24042,Bureau of Ocean Energy Management,221,,171
-10398962.0376,3432341.4929,Federal,,29030,Bureau of Ocean Energy Management,222,,4
-10066317.0755,3350721.3661,Federal,,24108,Bureau of Ocean Energy Management,223,,CAISS. 1
-9975410.6224,3393817.7751,Federal,,21273,Bureau of Ocean Energy Management,224,,F
-9975401.9296,3393461.566,Federal,,21273,Bureau of Ocean Energy Management,225,,E
-9975492.6698,3393856.5194,Federal,,21273,Bureau of Ocean Energy Management,226,,H
-10727873.4038,3261894.8773,Federal,,10391,Bureau of Ocean Energy Management,227,,D
-10408580.4091,3293089.4867,Federal,,29032,Bureau of Ocean Energy Management,228,,A
-9984264.0294,3392046.096,Federal,,20249,Bureau of Ocean Energy Management,229,,E
-10020164.2211,3374586.0609,Federal,,24214,Bureau of Ocean Energy Management,230,,M
-9822330.2915,3459485.0691,Federal,,24171,Bureau of Ocean Energy Management,231,,A
-9999060.9902,3369587.2005,Federal,,21805,Bureau of Ocean Energy Management,232,,I
-9998861.6137,3363585.799,Federal,,21270,Bureau of Ocean Energy Management,233,,X
-9881591.982,3409109.1193,Federal,,24248,Bureau of Ocean Energy Management,234,,BS
-9880803.79,3409639.1641,Federal,,24248,Bureau of Ocean Energy Management,235,,BS-Y
-9880928.139,3409764.8548,Federal,,24248,Bureau of Ocean Energy Management,236,,BS
-9880665.191,3409529.297,Federal,,24248,Bureau of Ocean Energy Management,237,,BS
-9934887.6765,3374063.009,Federal,,24249,Bureau of Ocean Energy Management,238,,257(SL 1012)
-9934234.5233,3374134.6788,Federal,,24250,Bureau of Ocean Energy Management,239,,225 (SL 1012)T
-9936692.4719,3373691.0206,Federal,,24251,Bureau of Ocean Energy Management,240,,85(SL 1012)(w)
-9937027.0842,3373360.765,Federal,,24252,Bureau of Ocean Energy Management,241,,98(SL 1012)(M)
-9932460.8585,3373442.5931,Federal,,24253,Bureau of Ocean Energy Management,242,,271(SL 1012)M
-9935125.3783,3373643.1967,Federal,,20741,Bureau of Ocean Energy Management,243,,TT
-10169746.5038,3346332.1719,Federal,,26075,Bureau of Ocean Energy Management,244,,JG
-9903751.6225,3381283.3281,Federal,,20319,Bureau of Ocean Energy Management,245,,E
-9955395.2734,3340090.3332,Federal,,24216,Bureau of Ocean Energy Management,246,,D
-10191045.3039,3416483.3286,Federal,,26053,Bureau of Ocean Energy Management,247,,28
-10099312.0596,3369085.41,Federal,,21988,Bureau of Ocean Energy Management,248,,B-25
-10318885.1509,3271605.4991,Federal,,27008,Bureau of Ocean Energy Management,249,,A
-10161895.1878,3390461.2292,Federal,,26071,Bureau of Ocean Energy Management,250,,A
-10132304.3304,3323983.0063,Federal,,26050,Bureau of Ocean Energy Management,251,,A
-10174495.8585,3310464.9745,Federal,,26083,Bureau of Ocean Energy Management,252,,J
-10121440.939,3353157.8932,Federal,,26086,Bureau of Ocean Energy Management,253,,W
-10360704.48,3309247.8137,Federal,,29008,Bureau of Ocean Energy Management,254,,B
-10140162.563,3298456.7252,Federal,,26072,Bureau of Ocean Energy Management,255,,F
-9865802.2632,3372243.8049,Federal,,24130,Bureau of Ocean Energy Management,256,,A
-9798355.2456,3417199.7534,Federal,,24194,Bureau of Ocean Energy Management,257,,A
-10162450.2797,3298012.721,Federal,,26085,Bureau of Ocean Energy Management,258,,G
-10034710.7184,3379608.1841,Federal,,20454,Bureau of Ocean Energy Management,259,,73
-10141506.3975,3273275.3743,Federal,,26067,Bureau of Ocean Energy Management,260,,A
-9783115.4386,3515686.0981,Federal,,23894,Bureau of Ocean Energy Management,261,,AP
-9783115.7033,3515632.7092,Federal,,23894,Bureau of Ocean Energy Management,262,,AQ
-9780027.9201,3515337.8214,Federal,,24158,Bureau of Ocean Energy Management,263,,A
-9868320.4605,3429106.133,Federal,,24179,Bureau of Ocean Energy Management,264,,A
-9969539.1227,3354256.222,Federal,,24209,Bureau of Ocean Energy Management,265,,A
-10185279.1234,3316389.6616,Federal,,26095,Bureau of Ocean Energy Management,266,,K
-10122953.1838,3353486.0779,Federal,,26070,Bureau of Ocean Energy Management,267,,V
-9851387.2549,3514294.8441,Federal,,23474,Bureau of Ocean Energy Management,268,,AQ
-10461425.1307,3248479.4899,Federal,,28005,Bureau of Ocean Energy Management,269,,B
-10427245.9689,3240639.0497,Federal,,10597,Bureau of Ocean Energy Management,270,,B
-10337416.7675,3269708.5466,Federal,,24085,Bureau of Ocean Energy Management,271,,A
-10441950.5473,3240156.8381,Federal,,28002,Bureau of Ocean Energy Management,272,,B
-10041259.2269,3261747.6672,Federal,,24129,Bureau of Ocean Energy Management,273,,A (LOBSTER)
-9913581.7978,3414136.2523,Federal,,22798,Bureau of Ocean Energy Management,274,,2
-10022232.9036,3368754.6919,Federal,,20046,Bureau of Ocean Energy Management,275,,AP
-10022189.8213,3368746.5513,Federal,,20046,Bureau of Ocean Energy Management,276,,AX
-10037572.227,3374647.6571,Federal,,20047,Bureau of Ocean Energy Management,277,,SB
-10032739.9177,3380859.8423,Federal,,20005,Bureau of Ocean Energy Management,278,,CS
-10032221.1517,3381156.1378,Federal,,20008,Bureau of Ocean Energy Management,279,,R
-10031694.1479,3382838.1241,Federal,,20011,Bureau of Ocean Energy Management,280,,X
-9998673.9321,3371811.9044,Federal,,20015,Bureau of Ocean Energy Management,281,,D
-10011833.8068,3375518.5078,Federal,,20018,Bureau of Ocean Energy Management,282,,C
-10015103.3802,3374861.2665,Federal,,20020,Bureau of Ocean Energy Management,283,,D
-10003057.7034,3375799.4527,Federal,,20021,Bureau of Ocean Energy Management,284,,AQ-QRT
-10003057.2587,3375834.4531,Federal,,20021,Bureau of Ocean Energy Management,285,,AP-QRT
-10003092.103,3375834.9621,Federal,,20021,Bureau of Ocean Energy Management,286,,AC-CMP
-10002987.6812,3375833.5625,Federal,,20021,Bureau of Ocean Energy Management,287,,AR-RSR
-10002988.5707,3375763.5618,Federal,,20021,Bureau of Ocean Energy Management,288,,AS-SEP
-9996277.4639,3371913.837,Federal,,20027,Bureau of Ocean Energy Management,289,,E
-10017136.4872,3374776.2403,Federal,,20032,Bureau of Ocean Energy Management,290,,E
-9986087.7881,3368916.1291,Federal,,21809,Bureau of Ocean Energy Management,291,,A-TWR
-9986058.956,3368990.2922,Federal,,21809,Bureau of Ocean Energy Management,292,,QTRS
-9986083.2249,3368990.6737,Federal,,21809,Bureau of Ocean Energy Management,293,,D
-10247335.2929,3310482.2471,Federal,,24053,Bureau of Ocean Energy Management,294,,B
-10072284.312,3357668.2082,Federal,,24144,Bureau of Ocean Energy Management,295,,22
-10290753.0693,3191882.2499,Federal,,24080,Bureau of Ocean Energy Management,296,,A-Auger TLP
-9877848.419,3386727.9878,Federal,,20375,Bureau of Ocean Energy Management,297,,D
-10189687.7586,3415383.1012,Federal,,21798,Bureau of Ocean Energy Management,298,,26
-10176303.4911,3309329.9734,Federal,,26030,Bureau of Ocean Energy Management,299,,I
-10111527.5637,3361981.3074,Federal,,26062,Bureau of Ocean Energy Management,300,,61
