X,Y,jurisdiction,platformtype,platformid,sourcerecord,objectid,operator,platformname
-10115980.53,3302681.8769,Federal,,22487,Bureau of Ocean Energy Management,871,,B
-10203234.5908,3263598.3538,Federal,,22490,Bureau of Ocean Energy Management,872,,A
-10199668.2962,3287142.8511,Federal,,22493,Bureau of Ocean Energy Management,873,,B
-10124389.3185,3373139.0028,Federal,,22501,Bureau of Ocean Energy Management,874,,K
-10118226.0507,3305335.8226,Federal,,22529,Bureau of Ocean Energy Management,875,,B
-10186529.0005,3320493.7989,Federal,,22837,Bureau of Ocean Energy Management,876,,J
-10153313.879,3343870.6578,Federal,,22841,Bureau of Ocean Energy Management,877,,E
-10111094.3636,3362582.5362,Federal,,22854,Bureau of Ocean Energy Management,878,,44
-10207618.9436,3345265.7759,Federal,,22858,Bureau of Ocean Energy Management,879,,A
-10111040.6157,3361184.4856,Federal,,22812,Bureau of Ocean Energy Management,880,,38Y
-10115902.0648,3310833.2786,Federal,,22813,Bureau of Ocean Energy Management,881,,L
-10192007.3315,3314095.4663,Federal,,22713,Bureau of Ocean Energy Management,882,,I
-10101792.8633,3369856.3481,Federal,,22770,Bureau of Ocean Energy Management,883,,19
-10216881.6055,3420973.1642,Federal,,22771,Bureau of Ocean Energy Management,884,,A
-10179595.3222,3303388.0853,Federal,,22677,Bureau of Ocean Energy Management,885,,E
-10211658.6372,3271445.4631,Federal,,22679,Bureau of Ocean Energy Management,886,,A
-10158488.2933,3322859.9797,Federal,,22692,Bureau of Ocean Energy Management,887,,J-DRL
-10158435.8607,3322919.1807,Federal,,22692,Bureau of Ocean Energy Management,888,,J-PRD
-10133332.499,3328884.7592,Federal,,22707,Bureau of Ocean Energy Management,889,,A
-10133336.061,3328835.2971,Federal,,22707,Bureau of Ocean Energy Management,890,,A-AUX
-10110694.1588,3361894.8105,Federal,,23108,Bureau of Ocean Energy Management,891,,M
-10125680.1465,3369917.6186,Federal,,23120,Bureau of Ocean Energy Management,892,,21
-10204575.3644,3263902.146,Federal,,23014,Bureau of Ocean Energy Management,893,,E
-10204324.1575,3266175.174,Federal,,23027,Bureau of Ocean Energy Management,894,,D
-10097924.6326,3368413.5864,Federal,,23060,Bureau of Ocean Energy Management,895,,17
-10203558.0451,3350245.2744,Federal,,23003,Bureau of Ocean Energy Management,896,,G
-10135663.7837,3311641.6207,Federal,,23007,Bureau of Ocean Energy Management,897,,B
-10204612.9888,3263783.759,Federal,,23014,Bureau of Ocean Energy Management,898,,C
-10133981.9344,3326227.1277,Federal,,22954,Bureau of Ocean Energy Management,899,,B
-10096916.9435,3368145.6828,Federal,,22959,Bureau of Ocean Energy Management,900,,22
-10132980.5098,3330544.2563,Federal,,22879,Bureau of Ocean Energy Management,901,,C
-10087866.5387,3353493.9108,Federal,,22892,Bureau of Ocean Energy Management,902,,19
-10108163.5296,3320357.2193,Federal,,23229,Bureau of Ocean Energy Management,903,,A
-10205006.0672,3279575.7358,Federal,,23240,Bureau of Ocean Energy Management,904,,D
-10119505.8871,3353748.2718,Federal,,23253,Bureau of Ocean Energy Management,905,,4
-10167513.5773,3331245.9796,Federal,,23173,Bureau of Ocean Energy Management,906,,A
-10106970.3834,3262132.8341,Federal,,23212,Bureau of Ocean Energy Management,907,,A
-10111555.6655,3361680.4373,Federal,,23146,Bureau of Ocean Energy Management,908,,48
-10202173.4053,3282145.6178,Federal,,23162,Bureau of Ocean Energy Management,909,,A
-10153064.5503,3324733.2901,Federal,,23167,Bureau of Ocean Energy Management,910,,A
-10149235.8294,3393369.6321,Federal,,23103,Bureau of Ocean Energy Management,911,,2
-10103333.7947,3372055.7635,Federal,,23584,Bureau of Ocean Energy Management,912,,2
-10103329.3419,3372056.5271,Federal,,23584,Bureau of Ocean Energy Management,913,,F
-10103325.7797,3372059.9626,Federal,,23584,Bureau of Ocean Energy Management,914,,4
-10103322.3288,3372059.9628,Federal,,23584,Bureau of Ocean Energy Management,915,,05
-10101205.9283,3372845.2342,Federal,,23555,Bureau of Ocean Energy Management,916,,20
-10153341.0358,3288277.8375,Federal,,23563,Bureau of Ocean Energy Management,917,,C
-10186876.7335,3236348.868,Federal,,23567,Bureau of Ocean Energy Management,918,,CPP
-10186790.4569,3236265.9885,Federal,,23567,Bureau of Ocean Energy Management,919,,A
-10119080.0294,3353376.632,Federal,,23569,Bureau of Ocean Energy Management,920,,Q
-10183455.8948,3373469.6343,Federal,,23571,Bureau of Ocean Energy Management,921,,30
-10182538.6014,3371204.0342,Federal,,23572,Bureau of Ocean Energy Management,922,,R
-10163919.1062,3366388.426,Federal,,23548,Bureau of Ocean Energy Management,923,,A
-10159289.7541,3389304.6696,Federal,,23549,Bureau of Ocean Energy Management,924,,11
-10119119.5679,3234276.0841,Federal,,23552,Bureau of Ocean Energy Management,925,,A-Bullwinkle
-10185193.1535,3331080.469,Federal,,23311,Bureau of Ocean Energy Management,926,,12
-10215492.3384,3322559.4449,Federal,,23321,Bureau of Ocean Energy Management,927,,A
-10182088.7789,3374134.1113,Federal,,23323,Bureau of Ocean Energy Management,928,,11
-10133322.0106,3241913.6045,Federal,,23503,Bureau of Ocean Energy Management,929,,A
-10119863.1164,3353850.9355,Federal,,23510,Bureau of Ocean Energy Management,930,,6
-10129747.1134,3242174.4535,Federal,,23277,Bureau of Ocean Energy Management,931,,A (Boxer)(DOT)
-10188490.3258,3323376.9328,Federal,,23961,Bureau of Ocean Energy Management,932,,B
-10184088.6351,3371764.3895,Federal,,23967,Bureau of Ocean Energy Management,933,,31
-10154921.9188,3341758.428,Federal,,23968,Bureau of Ocean Energy Management,934,,G
-10107341.7287,3362012.5678,Federal,,23970,Bureau of Ocean Energy Management,935,,8
-10184048.6244,3372566.7596,Federal,,23971,Bureau of Ocean Energy Management,936,,M-7
-10156973.6008,3340493.6651,Federal,,23972,Bureau of Ocean Energy Management,937,,B
-10154459.4495,3373478.8009,Federal,,23930,Bureau of Ocean Energy Management,938,,A-AUX
-10154430.2823,3373449.0244,Federal,,23930,Bureau of Ocean Energy Management,939,,A
-10197764.1246,3341663.6523,Federal,,23932,Bureau of Ocean Energy Management,940,,A
-10111211.3548,3361988.2529,Federal,,23934,Bureau of Ocean Energy Management,941,,43
-10198065.9041,3403578.104,Federal,,23939,Bureau of Ocean Energy Management,942,,8
-10181375.9633,3364356.3375,Federal,,23942,Bureau of Ocean Energy Management,943,,A
-10117961.6405,3253541.6595,Federal,,23925,Bureau of Ocean Energy Management,944,,A
-10110606.3637,3359570.0806,Federal,,23590,Bureau of Ocean Energy Management,945,,O
-10112811.4841,3352413.9926,Federal,,23598,Bureau of Ocean Energy Management,946,,7
-10198117.5139,3329878.4182,Federal,,23900,Bureau of Ocean Energy Management,947,,B
-10157757.2787,3327185.4996,Federal,,23901,Bureau of Ocean Energy Management,948,,7
-10197353.6651,3403294.314,Federal,,23906,Bureau of Ocean Energy Management,949,,B
-10124156.6117,3355541.3306,Federal,,23908,Bureau of Ocean Energy Management,950,,A
-10149481.0536,3360288.7302,Federal,,23578,Bureau of Ocean Energy Management,951,,DA
-10187535.1587,3219707.64,Federal,,23583,Bureau of Ocean Energy Management,952,,A-Jolliet TLP
-10318254.7802,3418916.0103,Federal,,20217,Bureau of Ocean Energy Management,953,,A
-10318241.6433,3418983.9445,Federal,,20217,Bureau of Ocean Energy Management,954,,C
-10235637.8047,3330467.7579,Federal,,20066,Bureau of Ocean Energy Management,955,,D
-10234443.7668,3330787.3908,Federal,,20067,Bureau of Ocean Energy Management,956,,C
-10276527.2356,3338070.4144,Federal,,20138,Bureau of Ocean Energy Management,957,,B
-10198467.5131,3402151.8166,Federal,,26009,Bureau of Ocean Energy Management,958,,5
-10159454.9516,3388768.0435,Federal,,26011,Bureau of Ocean Energy Management,959,,13
-10180136.5535,3342704.8015,Federal,,26013,Bureau of Ocean Energy Management,960,,JC
-10115832.3626,3352021.9929,Federal,,26015,Bureau of Ocean Energy Management,961,,R
-10115849.7397,3352022.0625,Federal,,26015,Bureau of Ocean Energy Management,962,,R-HDR
-10119626.0025,3353779.401,Federal,,26017,Bureau of Ocean Energy Management,963,,T
-10156737.3965,3343980.4345,Federal,,26018,Bureau of Ocean Energy Management,964,,A
-10099949.8264,3373040.1836,Federal,,26029,Bureau of Ocean Energy Management,965,,26
-10144836.3097,3280327.3322,Federal,,23984,Bureau of Ocean Energy Management,966,,B
-10142347.6325,3277198.8706,Federal,,23985,Bureau of Ocean Energy Management,967,,A
-10119243.5388,3313045.9723,Federal,,23994,Bureau of Ocean Energy Management,968,,C
-10124860.0719,3370041.3198,Federal,,23999,Bureau of Ocean Energy Management,969,,L
-10278288.8307,3339819.6723,Federal,,20638,Bureau of Ocean Energy Management,970,,A
-10278254.0982,3339820.0527,Federal,,20638,Bureau of Ocean Energy Management,971,,CF
-10301101.753,3432187.3103,Federal,,20639,Bureau of Ocean Energy Management,972,,H
-10301101.4194,3432153.1807,Federal,,20639,Bureau of Ocean Energy Management,973,,A-PRD
-10301024.1618,3432153.9461,Federal,,20639,Bureau of Ocean Energy Management,974,,A-CMP
-10301024.4955,3432189.0985,Federal,,20639,Bureau of Ocean Energy Management,975,,A-QTR
-10300859.0708,3432190.885,Federal,,20639,Bureau of Ocean Energy Management,976,,A-AUX
-10341803.4731,3452997.6843,Federal,,20506,Bureau of Ocean Energy Management,977,,B
-10341566.4979,3450772.578,Federal,,20507,Bureau of Ocean Energy Management,978,,CF
-10299671.1646,3430686.8151,Federal,,20509,Bureau of Ocean Energy Management,979,,2
-10299697.6593,3430678.1243,Federal,,20509,Bureau of Ocean Energy Management,980,,3
-10291705.1906,3313769.3704,Federal,,20734,Bureau of Ocean Energy Management,981,,A-DRL
-10291704.1744,3313664.8784,Federal,,20734,Bureau of Ocean Energy Management,982,,A-PRD
-10329839.4881,3276750.4866,Federal,,20744,Bureau of Ocean Energy Management,983,,A
-10237149.4264,3372268.2871,Federal,,20706,Bureau of Ocean Energy Management,984,,A
-10249400.9922,3350837.468,Federal,,20713,Bureau of Ocean Energy Management,985,,A
-10261001.6018,3383941.8851,Federal,,20732,Bureau of Ocean Energy Management,986,,CF
-10260948.5679,3383936.161,Federal,,20732,Bureau of Ocean Energy Management,987,,C
-10285418.7153,3413968.5795,Federal,,20928,Bureau of Ocean Energy Management,988,,A
-10248261.2586,3431908.2145,Federal,,21411,Bureau of Ocean Energy Management,989,,TREATER
-10248314.025,3431960.6232,Federal,,21411,Bureau of Ocean Energy Management,990,,COMP 1 and 2
-10248313.6915,3431907.9599,Federal,,21411,Bureau of Ocean Energy Management,991,,COMP
-10248314.2474,3431995.775,Federal,,21411,Bureau of Ocean Energy Management,992,,COM4
-10248209.1593,3431961.2606,Federal,,21411,Bureau of Ocean Energy Management,993,,OFFICE
-10248209.1593,3431961.2606,Federal,,21411,Bureau of Ocean Energy Management,994,,QTR 2
-10248209.1593,3431961.2606,Federal,,21411,Bureau of Ocean Energy Management,995,,DIESEL
-10252102.5592,3430614.8957,Federal,,21412,Bureau of Ocean Energy Management,996,,70
-10249745.4035,3432646.6977,Federal,,21417,Bureau of Ocean Energy Management,997,,51
-10252664.0688,3430701.5613,Federal,,21418,Bureau of Ocean Energy Management,998,,49
-10248261.8146,3431996.1576,Federal,,21411,Bureau of Ocean Energy Management,999,,A-QTR
-10248261.5923,3431961.0059,Federal,,21411,Bureau of Ocean Energy Management,1000,,A-PROD
-10227093.8233,3390429.2546,Federal,,21739,Bureau of Ocean Energy Management,1001,,A
-10229399.8651,3392383.1211,Federal,,21741,Bureau of Ocean Energy Management,1002,,B
-10236274.3863,3332830.628,Federal,,21604,Bureau of Ocean Energy Management,1003,,B-PRD
-10270604.5448,3337074.7368,Federal,,21725,Bureau of Ocean Energy Management,1004,,A
-10333086.674,3263822.9429,Federal,,21502,Bureau of Ocean Energy Management,1005,,A
-10252683.6223,3357377.5108,Federal,,21600,Bureau of Ocean Energy Management,1006,,A
-10236274.6097,3332865.5153,Federal,,21604,Bureau of Ocean Energy Management,1007,,B
-10229211.8659,3346443.594,Federal,,21459,Bureau of Ocean Energy Management,1008,,E
-10249179.0565,3327139.1582,Federal,,21462,Bureau of Ocean Energy Management,1009,,B
-10249179.0565,3327139.1582,Federal,,21462,Bureau of Ocean Energy Management,1010,,B-QTRS.
-10253742.5499,3322801.4918,Federal,,21473,Bureau of Ocean Energy Management,1011,,C
-10270745.9655,3283125.7685,Federal,,21930,Bureau of Ocean Energy Management,1012,,A
-10302625.1659,3435556.2622,Federal,,21967,Bureau of Ocean Energy Management,1013,,B
-10226770.5184,3388517.4421,Federal,,21880,Bureau of Ocean Energy Management,1014,,D
-10238152.1877,3333759.8183,Federal,,21883,Bureau of Ocean Energy Management,1015,,C-PRD
-10238028.1763,3333858.1433,Federal,,21883,Bureau of Ocean Energy Management,1016,,E-CMP
-10238144.3968,3333855.4798,Federal,,21883,Bureau of Ocean Energy Management,1017,,F
-10350063.0201,3264395.2379,Federal,,21892,Bureau of Ocean Energy Management,1018,,A
-10296584.8278,3431786.9272,Federal,,21902,Bureau of Ocean Energy Management,1019,,E-AUX1
-10296619.4763,3431786.5021,Federal,,21902,Bureau of Ocean Energy Management,1020,,E
-10296580.6263,3431821.07,Federal,,21902,Bureau of Ocean Energy Management,1021,,E-7
-10296740.5673,3431762.4912,Federal,,21902,Bureau of Ocean Energy Management,1022,,E-AUX2
-10350447.2397,3267383.9086,Federal,,21907,Bureau of Ocean Energy Management,1023,,B
-10271083.3245,3336178.5796,Federal,,21908,Bureau of Ocean Energy Management,1024,,B
-10242721.6355,3286623.4332,Federal,,21842,Bureau of Ocean Energy Management,1025,,B
-10242632.8323,3286751.5311,Federal,,21842,Bureau of Ocean Energy Management,1026,,D
-10227345.3019,3386595.6798,Federal,,21843,Bureau of Ocean Energy Management,1027,,C
-10228303.5995,3285420.1871,Federal,,21860,Bureau of Ocean Energy Management,1028,,B
-10226188.8303,3280750.9985,Federal,,21862,Bureau of Ocean Energy Management,1029,,A
-10231270.9642,3289004.0124,Federal,,21864,Bureau of Ocean Energy Management,1030,,A
-10231219.0881,3289004.2651,Federal,,21864,Bureau of Ocean Energy Management,1031,,SA-2
-10252994.1289,3283581.022,Federal,,21875,Bureau of Ocean Energy Management,1032,,A
-10242424.2025,3288147.7968,Federal,,21799,Bureau of Ocean Energy Management,1033,,A
-10240571.331,3286833.507,Federal,,21800,Bureau of Ocean Energy Management,1034,,C
-10227433.1264,3374503.1306,Federal,,21830,Bureau of Ocean Energy Management,1035,,CA
-10227450.3812,3374485.5683,Federal,,21830,Bureau of Ocean Energy Management,1036,,A-PRD
-10307336.6366,3316443.7148,Federal,,22107,Bureau of Ocean Energy Management,1037,,A
-10307385.3965,3316491.3577,Federal,,22107,Bureau of Ocean Energy Management,1038,,A-AUX
-10261968.4468,3384028.3421,Federal,,22117,Bureau of Ocean Energy Management,1039,,G
-10269758.4369,3251333.8573,Federal,,22118,Bureau of Ocean Energy Management,1040,,A
-10238410.3283,3302334.0862,Federal,,22085,Bureau of Ocean Energy Management,1041,,A
-10238410.1049,3302294.7219,Federal,,22085,Bureau of Ocean Energy Management,1042,,A-PRD
-10227199.2478,3384049.9645,Federal,,22040,Bureau of Ocean Energy Management,1043,,E
-10230380.5865,3287869.5666,Federal,,22046,Bureau of Ocean Energy Management,1044,,C
-10252101.645,3288192.8909,Federal,,21982,Bureau of Ocean Energy Management,1045,,B
-10262305.2557,3430908.9067,Federal,,21992,Bureau of Ocean Energy Management,1046,,1
-10265617.4649,3288035.4607,Federal,,22019,Bureau of Ocean Energy Management,1047,,B
-10245369.0094,3304667.5984,Federal,,22335,Bureau of Ocean Energy Management,1048,,A NORTH
-10294659.159,3260595.8315,Federal,,22277,Bureau of Ocean Energy Management,1049,,C
-10260871.031,3384264.1921,Federal,,22190,Bureau of Ocean Energy Management,1050,,12
-10299225.1328,3259681.8404,Federal,,22249,Bureau of Ocean Energy Management,1051,,A
-10262880.2212,3432801.7237,Federal,,22664,Bureau of Ocean Energy Management,1052,,A
-10262877.8852,3432580.703,Federal,,22664,Bureau of Ocean Energy Management,1053,,A-QTR
-10262879.3309,3432766.9533,Federal,,22664,Bureau of Ocean Energy Management,1054,,A-PRD
-10245294.7109,3307802.2161,Federal,,22531,Bureau of Ocean Energy Management,1055,,A
-10249157.4651,3361065.907,Federal,,22561,Bureau of Ocean Energy Management,1056,,JA
-10259546.1703,3355432.3734,Federal,,22475,Bureau of Ocean Energy Management,1057,,C
-10271597.1419,3256574.6744,Federal,,22355,Bureau of Ocean Energy Management,1058,,A
-10240587.4355,3421151.9812,Federal,,22864,Bureau of Ocean Energy Management,1059,,106
-10248822.543,3432335.5454,Federal,,22877,Bureau of Ocean Energy Management,1060,,114
-10240127.4577,3420159.0106,Federal,,22901,Bureau of Ocean Energy Management,1061,,C
-10329938.6517,3274243.8788,Federal,,22803,Bureau of Ocean Energy Management,1062,,B
